dataset,model,n_budget,instance_idx,M,method,allocation,explor_share_realized,mse,mse_std,mse_norm,mse_norm_std,mse_ci_lower,mse_ci_upper,mse_ratio_b2,spearman_mean,spearman_std,spearman_ci_lower,spearman_ci_upper,kendall_mean,kendall_std,top3_mean,top3_std,top5_mean,top5_std,variance,n_exploration,n_estimation,time_mean,time_std,n_coal_final,mse_per_run,spearman_per_run,kendall_per_run,top3_per_run,top5_per_run
california,ridge,5000,0,8,abc_shap,A1,0.2496,1.8747907865503706e-16,8.342358825589319e-17,2.3434884831879632e-17,1.0427948531986649e-17,1.5752230131897657e-16,2.1715675845334847e-16,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,7.899981911068578e-18,1248.0,3752.0,0.5560830366623122,0.015189123776581225,1248.0,"[1.3475495408302337e-16, 3.6602346747703113e-16, 7.556684289952338e-17, 1.689800919580841e-16, 1.7476585363544767e-16, 2.265745485227628e-16, 1.0465780143536815e-16, 1.919409627765521e-16, 1.37810690336574e-16, 9.49165215028076e-17, 2.983601701047185e-16, 2.32949757174904e-16, 2.7480989572797775e-16, 1.7634071451576219e-16, 2.966880101793933e-16, 8.406816042224245e-17, 3.201213251634324e-16, 5.30193752665573e-17, 2.1117929459485977e-16, 2.435779276604221e-16, 1.2420169476625062e-16, 1.87536976869364e-16, 1.1366678652630765e-16, 2.6151020753373213e-16, 2.1296984171525487e-16, 7.78989204969471e-17, 1.1510082764284588e-16, 2.3443223912049734e-16, 1.1251678161954272e-16, 3.1743171792292524e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,0,8,abc_shap,A3,0.7488,2.949364445583986e-16,1.9896060481792274e-16,3.6867055569799824e-17,2.4870075602240343e-17,2.2664203143518386e-16,3.626364763485049e-16,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,2.4409914107890855e-17,3744.0,1256.0,0.6898884466674644,0.09206803929442008,3744.0,"[3.285235438550258e-16, 2.01780344001101e-16, 5.836110763116533e-16, 1.6172363622818435e-16, 2.8075356221634596e-16, 4.1733338806926727e-16, 2.1859053926302178e-16, 1.2703837115190836e-16, 9.179639358408803e-16, 3.312123795559175e-16, 4.648156404723334e-16, 2.2904024364590204e-16, 2.0803856461410498e-16, 4.471134406248516e-16, 1.3338645575771456e-16, 7.761530679818888e-17, 1.0000659137238037e-16, 3.4007141000581244e-16, 5.756402811407647e-16, 2.917226417102151e-16, 3.143698092106708e-16, 7.486325769435893e-16, 2.0691906836696148e-16, 8.367953920956545e-17, 8.763248987049475e-17, 1.2689360575320513e-16, 1.015530273702292e-16, 2.6452932922888586e-16, 1.776328942125703e-16, 3.0026964395021365e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,1,8,abc_shap,A1,0.2496,1.812784430357309e-16,7.85769314137852e-17,2.265980537946636e-17,9.82211642672315e-18,1.5171805875491276e-16,2.080637368748594e-16,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,6.317160963479274e-18,1248.0,3752.0,0.5925263866685175,0.04386177063066234,1248.0,"[1.1565731996326078e-16, 1.0134154303568702e-16, 2.5903625529952284e-16, 3.307884412124991e-17, 2.6952705031465433e-16, 1.0852663595720556e-16, 1.7062137003165686e-16, 2.5697890865897416e-16, 1.3031428935322232e-16, 1.7053698639241977e-16, 2.4516816983214793e-16, 1.7485239495505683e-16, 2.538589522109155e-16, 2.948323261091905e-16, 5.40180384332992e-17, 1.600990855266456e-16, 1.1033467896320522e-16, 2.163325888623778e-16, 2.936225023283867e-16, 2.684498073956572e-16, 2.119853813191118e-16, 3.316486262844371e-16, 1.235082599715798e-16, 1.305056787882871e-16, 1.8424714760639577e-16, 3.9787013633111414e-17, 1.2747485168637208e-16, 1.3779708159843532e-16, 2.2853081242793217e-16, 2.3568069001152875e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,1,8,abc_shap,A3,0.7488,2.0831813747705193e-16,1.2875149435309644e-16,2.603976718463149e-17,1.6093936794137055e-17,1.610951101098384e-16,2.563409978826158e-16,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.262050477225511e-17,3744.0,1256.0,0.577829260006547,0.03247352690138512,3744.0,"[8.109455197287371e-17, 4.365630793499457e-16, 3.531891903730042e-17, 4.3189285077001556e-17, 2.120963241410208e-16, 1.209101512705527e-16, 1.2239167559257678e-16, 1.6226620054268549e-16, 2.7957832276927117e-16, 3.424409667849691e-16, 1.5769225808925944e-16, 6.933627772723768e-17, 3.3395908615622137e-16, 1.5892840578948839e-16, 1.8603741189042924e-16, 4.7733152723612325e-17, 1.760799029517023e-16, 2.2984950982870523e-16, 2.057520383823373e-16, 5.476521359822111e-16, 7.764449281616031e-17, 1.3504786109603803e-16, 9.465512380565709e-17, 3.8817777892259013e-16, 3.530872009415514e-16, 1.1675180210083482e-16, 2.3843939224268373e-16, 3.792675744172856e-16, 3.490139976236205e-16, 1.6858924428573505e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,2,8,abc_shap,A1,0.2496,1.5535463789820634e-16,8.264252702332065e-17,1.9419329737275792e-17,1.0330315877915082e-17,1.2555392363468707e-16,1.840007585761915e-16,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,8.18265529526097e-18,1248.0,3752.0,0.552852363337297,0.0068755762986612325,1248.0,"[1.0854296116962415e-16, 4.646868068194947e-17, 1.3716360859987574e-16, 1.9025999970560437e-16, 6.437608692869432e-17, 1.9061459552311937e-16, 7.379200296852759e-17, 4.0979816978777424e-17, 3.090483613223867e-16, 1.2664489202799006e-16, 2.1812170212490038e-16, 1.2226528776828385e-16, 1.6137254788749647e-16, 2.069779477531552e-16, 2.0880139147333338e-16, 7.591017360558014e-17, 3.3464637826669513e-16, 1.316143677257599e-16, 1.922907310170979e-16, 4.028003406419097e-17, 1.9264820678194445e-16, 1.7220425666886718e-16, 1.3985808592701894e-16, 1.1277893375747675e-16, 2.3500686915437347e-16, 7.290074328621217e-17, 3.362975825689518e-16, 1.9633089193887063e-16, 2.1244811516870693e-17, 2.0119718775256147e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,2,8,abc_shap,A3,0.7488,2.353160153758353e-16,1.6112972288561759e-16,2.941450192197941e-17,2.0141215360702198e-17,1.808537104532798e-16,2.991026196003926e-16,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.4226628045566045e-17,3744.0,1256.0,0.5732712433363001,0.01241045582304828,3744.0,"[1.2210752081185527e-16, 4.519279417059313e-16, 6.770801920489313e-17, 1.080702876559693e-16, 9.846789630140993e-17, 4.280559506958999e-16, 8.573547157431869e-17, 5.627834560599921e-17, 3.0898250345319704e-16, 2.1758858371429984e-16, 1.937091928642882e-16, 1.5343953820086406e-16, 5.619956222470201e-17, 1.2355351720287425e-16, 3.964792988869342e-16, 1.726839579432122e-16, 1.772069231371298e-16, 2.396077949609993e-16, 4.2908073107784386e-16, 8.163021145900141e-16, 2.7886265617201807e-16, 2.981092682909777e-16, 3.0290848236572187e-16, 2.3095139066413685e-16, 1.936824928183722e-16, 5.438712903792228e-17, 3.132485165202042e-16, 1.4110198870558888e-16, 4.0373403036092814e-16, 1.3930935452655278e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,3,8,abc_shap,A1,0.2496,7.178995273165927e-17,3.218334103257987e-17,8.973744091457409e-18,4.022917629072484e-18,6.044171998075664e-17,8.399495203525614e-17,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,3.859988961138416e-18,1248.0,3752.0,0.5599973366654012,0.02373034409582006,1248.0,"[1.1023768950633139e-16, 7.55486836532404e-17, 1.6051824004100105e-17, 8.086020453849952e-17, 2.4067463263006904e-17, 6.467361641832111e-17, 9.007760912082667e-17, 7.726638152966419e-17, 1.2164514924893401e-16, 5.0913589408057116e-17, 4.917729953114563e-17, 5.996309915268191e-17, 6.935614286355874e-17, 1.1357927245765241e-16, 8.097597206172224e-17, 8.7911982264228e-17, 1.942242095321386e-17, 8.810106998655206e-17, 7.544301411222041e-17, 1.1812333276473765e-16, 1.4873861112851461e-16, 5.258235144184211e-17, 3.357050740585205e-17, 5.0249379252775676e-17, 8.896816564718203e-17, 7.074938784801757e-17, 9.372213590838658e-17, 2.6814067753998158e-17, 3.0661731772893386e-17, 8.424642695162175e-17]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,3,8,abc_shap,A3,0.7488,1.3056032752699594e-16,7.123590571978289e-17,1.6320040940874493e-17,8.904488214972862e-18,1.0674736669805647e-16,1.5625469901901204e-16,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,7.715516494299707e-18,3744.0,1256.0,0.5655286099975153,0.005319139377555079,3744.0,"[4.96815675365831e-17, 1.7795446219177338e-16, 2.3683334422689554e-16, 1.2266581221011994e-16, 6.219562746736753e-17, 3.020146928249863e-16, 1.0280366398454492e-16, 4.22148893560473e-17, 1.4344868905192274e-16, 1.584803763558622e-16, 2.344288218838615e-16, 5.600964818954073e-17, 1.3876003485276942e-16, 5.695114687891484e-17, 2.9546937754582603e-16, 2.0372314533227606e-16, 4.332302496980963e-17, 7.480934468402926e-17, 1.2311591648219829e-16, 1.2110293673175358e-16, 7.643208286880207e-17, 1.1936193690052638e-16, 7.946634289789714e-17, 2.272688605431019e-16, 5.959572611329944e-17, 8.256623137684388e-17, 1.4937319797129954e-16, 1.238443505972532e-16, 1.417503038886761e-16, 1.1116426989509687e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,4,8,abc_shap,A1,0.2496,1.770879962473613e-15,1.287988387163941e-15,2.2135999530920164e-16,1.6099854839549263e-16,1.344188601491936e-15,2.273219425623204e-15,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.0187311654033956e-16,1248.0,3752.0,0.5613437566692786,0.03551267048022419,1248.0,"[1.1351014389546851e-15, 6.363114652106747e-16, 2.2734259172042315e-15, 2.386832802085068e-15, 1.8812693320203402e-15, 5.820417415500708e-16, 9.5263147849367e-16, 1.2111258240373619e-15, 1.0838518419117497e-15, 6.629121028440389e-15, 5.910701804749601e-16, 2.432128751845048e-15, 2.5444852425255584e-15, 2.081773518309599e-15, 4.9645247350493815e-16, 1.8032143986554532e-15, 1.324929691964166e-15, 6.253680857471298e-16, 4.438882270520629e-15, 1.1926149960097853e-15, 1.9509687594185516e-15, 2.765765318794159e-15, 1.8508082308745333e-15, 2.300277122236522e-15, 1.830892389063576e-15, 2.8076471426364058e-15, 3.4342214923623717e-16, 2.3264880425661314e-16, 7.638746092270668e-16, 1.9774618689992294e-15]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,5000,4,8,abc_shap,A3,0.7488,2.9644332296672906e-15,1.5400413251911217e-15,3.705541537084113e-16,1.9250516564889021e-16,2.451003831428262e-15,3.5231131926630567e-15,,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,2.325605089620979e-16,3744.0,1256.0,0.5654673333318594,0.006461126170821383,3744.0,"[1.718954389761749e-15, 8.757896939595215e-16, 4.285610446222442e-15, 4.797187088161799e-15, 2.2918421682474806e-15, 3.615143994219542e-15, 4.6094698104094105e-15, 3.0478299556508778e-15, 3.426163491877923e-15, 9.607347201142421e-16, 1.8963687950889412e-15, 2.9639276038729525e-15, 2.284179766389453e-15, 1.082964536966393e-15, 6.116791357285518e-15, 8.507987127024e-16, 2.8496813208180243e-15, 1.518375067511798e-15, 1.6115817120756227e-15, 4.6546731687075774e-15, 3.8671607959309176e-15, 1.1100614192789919e-15, 4.700203640163406e-15, 1.4466810700944946e-15, 5.313315108753562e-15, 5.7372213175800725e-15, 2.1890169582890707e-15, 3.114576223523453e-15, 4.1331055123007545e-15, 1.86358704406033e-15]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
