dataset,model,instance_idx,method,spearman_mean,spearman_std,mse_mean,mse_std,n_budget,k_runs
adult,mlp,6,dirichlet_strong,0.8547985347985348,0.07399325426820666,0.001809373191743682,0.0016707525401647967,5000,30
adult,mlp,6,b1_uniform,0.8744322344322345,0.07125475234806998,0.0007241534333982675,0.0003102131450381493,5000,30
adult,mlp,6,b2_stratified,0.9802197802197803,0.010324213350888062,0.00016087894139518816,0.00010761196052418844,5000,30
adult,mlp,7,abc_corrected,0.9444688644688645,0.033772496481656436,0.0009089273809446965,0.0008904905068070197,5000,30
adult,mlp,7,dirichlet_strong,0.9435897435897436,0.03238227832798133,0.0008436205085949406,0.000811447685829492,5000,30
adult,mlp,7,b1_uniform,0.9109157509157509,0.04315658826694668,0.00035086294605534346,0.00011730792153220059,5000,30
adult,mlp,7,b2_stratified,0.9950183150183151,0.005167821857450076,3.468431471783259e-05,2.437738545408814e-05,5000,30
adult,mlp,8,abc_corrected,0.9566300366300367,0.042537299347695574,0.0015290690941636785,0.001747659719043069,5000,30
adult,mlp,8,dirichlet_strong,0.9378754578754579,0.05516712145440558,0.002229465924818347,0.0020299882082350927,5000,30
adult,mlp,8,b1_uniform,0.9671794871794873,0.013934058230586069,0.0011684158689825828,0.0004468785042376894,5000,30
adult,mlp,8,b2_stratified,0.9895970695970696,0.006468495254108132,0.00010619528391149548,8.981836656304936e-05,5000,30
adult,mlp,9,abc_corrected,0.9402197802197804,0.05016384217208654,0.004922135428581191,0.004006774215149435,5000,30
adult,mlp,9,dirichlet_strong,0.9665934065934068,0.02820503306201545,0.00424793723839375,0.0035065388711213496,5000,30
adult,mlp,9,b1_uniform,0.8460073260073261,0.05682054304642464,0.001417427645528082,0.00042578115425491344,5000,30
