dataset,model,n_budget,instance_idx,M,method,allocation,explor_share_realized,n_exploration,n_estimation,spearman_mean,spearman_std,kendall_mean,top3_mean,top5_mean,mse,mse_ratio_b2,kendall_per_run,kendall_std,mse_ci_lower,mse_ci_upper,mse_norm,mse_norm_std,mse_per_run,mse_std,n_coal_final,spearman_ci_lower,spearman_ci_upper,spearman_per_run,time_mean,time_std,top3_per_run,top3_std,top5_per_run,top5_std,variance
california,ridge,5000,0,8,abc_shap,A0,0.9922,4961.0,39.0,1.0,0.0,0.9999999999999998,1.0,1.0,1.7499527502965594e-14,495.5400741071985,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,7.331333666136926e-15,3.124599891289914e-14,2.1874409378706997e-15,4.421519033139782e-15,"[1.0148764830868838e-15, 4.4757711838753695e-15, 2.5400697815555045e-14, 2.2668022318643908e-15, 1.1250840173228466e-14, 1.2402456761039972e-14, 2.67372075540145e-15, 7.059469787531921e-15, 3.711496542656904e-15, 7.794678716071134e-15, 6.6854179886206065e-15, 2.43176997422662e-14, 1.3357315491311095e-14, 1.1236666435217028e-13, 5.287878484232684e-15, 1.4121551492189314e-14, 8.314057374783935e-15, 3.1910856873519832e-15, 3.219280817219242e-15, 1.747470428156758e-13, 4.4966238670840855e-15, 6.677684661665544e-15, 2.8295041679120666e-15, 7.861647811246462e-15, 3.840645857567816e-15, 1.2038985837298422e-14, 5.040182064305081e-15, 1.0153363403138e-15, 3.1416121491524934e-14, 6.110288293917029e-15]",3.537215226511825e-14,4961.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.452339143313778,0.3079293507644575,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,2.1656059788137094e-15
california,ridge,5000,0,8,b1_uniform,A0,0.0,0.0,5000.0,1.0,0.0,0.9999999999999998,1.0,1.0,3.912267923035538e-16,11.078502183442968,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,3.216217952930576e-16,4.733700367792704e-16,4.890334903794424e-17,2.5819761936238415e-17,"[4.0777099874569527e-16, 4.2577096223433846e-16, 1.2587401596708737e-16, 5.791476819057051e-16, 4.0350071400704665e-16, 1.170119492112918e-16, 2.0145958100738344e-16, 5.416474176368787e-16, 2.706845154176081e-16, 3.8848539997210654e-16, 4.822971144089091e-16, 4.806959642763227e-16, 5.736805462091744e-16, 3.7123447967842573e-16, 1.1649528124515887e-16, 3.504054241839963e-16, 5.254677299035187e-16, 4.415832442111099e-16, 3.988242808065147e-16, 3.5203916858270513e-16, 1.1197738127281265e-15, 1.7817272592579907e-16, 3.7984691181664304e-16, 3.920490869779916e-16, 2.8642051930709947e-16, 2.966503044371138e-16, 1.868797741641476e-16, 8.336383286920076e-16, 2.991856614527191e-16, 2.101101739939881e-16]",2.0655809548990727e-16,5000.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5881785566840941,0.1158794166471213,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,2.1090360571638485e-17
california,ridge,5000,0,8,b2_stratified,A0,0.0,0.0,5000.0,1.0,0.0,0.9999999999999998,1.0,1.0,3.5314051107761635e-17,1.0,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,2.864007617994867e-17,4.2910889353409947e-17,4.414256388470205e-18,2.46573960821979e-18,"[1.7284071974438577e-17, 1.9696248396736764e-17, 3.3980729649456046e-17, 7.540433236276288e-17, 3.2774555112591677e-17, 2.555747358717868e-17, 8.12328104471365e-17, 1.4222557770138846e-17, 1.490680034331832e-17, 1.5923208008800512e-17, 1.947150462640077e-17, 7.589698409214715e-18, 1.3497051779732314e-17, 4.918742907134727e-17, 5.196291984492733e-17, 4.2252052871207395e-17, 6.182447801880515e-17, 4.691250034342899e-17, 3.984231498670628e-17, 3.641859369179367e-17, 7.956497411343985e-17, 5.682180655999579e-17, 2.2811050829911307e-17, 2.720190035463063e-17, 3.774280730771393e-17, 2.119303672342898e-17, 2.2807614690698614e-17, 3.0782012910511887e-17, 3.733331588676755e-17, 2.322168255962802e-17]",1.972591686575832e-17,5000.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.6203679000027478,0.1287411547456633,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,4.044316286959373e-18
california,ridge,5000,0,8,b3_is,A0,0.0,0.0,5000.0,1.0,0.0,0.9999999999999998,1.0,1.0,1.7029096941376822e-16,4.8221873184167245,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,1.5516159790248334e-16,1.850197931641419e-16,2.1286371176721028e-17,5.447126179907498e-18,"[1.9465920282954772e-16, 1.5436032194287248e-16, 1.5474559675131702e-16, 1.7178711580408272e-16, 1.246009277298913e-16, 1.019043468222835e-16, 2.1073295269514657e-16, 1.405767643080185e-16, 2.0507410219426229e-16, 1.9786377322940427e-16, 2.0076069338730952e-16, 2.1809783214401698e-16, 1.8327074057154053e-16, 1.6807022335063576e-16, 1.9649094675630855e-16, 1.9186061251855437e-16, 2.383647233578075e-16, 1.4688111744932432e-16, 1.2899317382535633e-16, 2.7582285643549876e-16, 1.3559773553203194e-16, 1.6704548181494951e-16, 6.999414495906e-17, 1.329972397442291e-16, 2.2894184832008036e-16, 1.1341531102815963e-16, 1.7448603977120083e-16, 1.2884378753558043e-16, 1.5485362526283177e-16, 1.976358443417451e-16]",4.357700943925999e-17,5000.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8035549333474289,0.2011061017213531,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,2.616627397170869e-18
california,ridge,5000,0,8,b4_antithetic,A0,0.0,0.0,5000.0,1.0,0.0,0.9999999999999998,1.0,1.0,3.6530598071687527e-16,10.344493742791949,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,3.151369591650293e-16,4.194602645891334e-16,4.566324758960941e-17,1.822540931460588e-17,"[3.4082226335692306e-16, 3.6832876046794745e-16, 3.2084405186646414e-16, 6.542621570200303e-16, 2.2810674134498035e-16, 4.931434576448439e-16, 3.0750101390415277e-16, 1.740482416846497e-16, 2.291442415443435e-16, 6.272975394053861e-16, 3.374639181087856e-16, 5.303506880097388e-16, 4.4201484990722505e-16, 3.435090197807481e-16, 2.0762368076765703e-16, 1.402738640727429e-16, 2.9571563801680664e-16, 3.2047567498825906e-16, 1.5580439849105994e-16, 3.592802827311623e-16, 4.582893884583321e-16, 5.941424054669801e-16, 3.9739727925433264e-16, 5.799408906666022e-16, 2.1469819303212311e-16, 6.143584043178847e-16, 3.367229061523134e-16, 4.118311038069523e-16, 2.5344958507321076e-16, 2.223387821636181e-16]",1.4580327451684703e-16,5000.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.6041542666731402,0.1527972570810074,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,1.772268569677999e-17
california,ridge,5000,1,8,abc_shap,A0,0.9922,4961.0,39.0,1.0,0.0,0.9999999999999998,1.0,1.0,8.464321934406813e-15,272.69265507535243,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,5.479605502696604e-15,1.167493555121909e-14,1.0580402418008516e-15,1.0927571863072787e-15,"[3.328927339192849e-14, 2.947577414782735e-15, 2.58246932273434e-14, 3.315083778882429e-15, 2.9736464467197242e-15, 5.3707608703900834e-15, 4.199055032852118e-15, 2.2332058776392783e-15, 1.719206159458016e-15, 2.060532986615616e-14, 3.010735105006033e-14, 4.1334808110348444e-15, 2.2901551653922313e-15, 4.078502727123953e-15, 4.089476853273671e-15, 3.1481459104499596e-15, 1.9066482964502173e-15, 3.0568891000079758e-15, 9.95501266686572e-15, 9.44288116443296e-16, 1.1291523887419355e-14, 1.3169973089408014e-15, 1.856846988577501e-14, 1.8205303876704406e-14, 9.610715044199978e-15, 3.907884348052188e-15, 6.156727732566178e-15, 6.814868860174491e-15, 4.127403462526354e-15, 7.741980862590938e-15]",8.742057490458232e-15,4961.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.7090846499971424,0.2369187491370078,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,8.945332612729789e-16
california,ridge,5000,1,8,b1_uniform,A0,0.0,0.0,5000.0,1.0,0.0,0.9999999999999998,1.0,1.0,2.844983433585134e-16,9.165602302957444,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,2.423052547094532e-16,3.2601838572769994e-16,3.556229291981418e-17,1.460866730707939e-17,"[8.776658635860133e-17, 2.0234868622686203e-16, 1.430126829192301e-16, 6.312242569760704e-17, 2.0132460199527449e-16, 2.495839195557288e-16, 3.5441154980926984e-16, 3.18486976873768e-16, 3.814032753515832e-16, 2.0748247988058854e-16, 2.7174191318428833e-16, 3.19563622463855e-16, 2.55161933453005e-16, 3.126708893797915e-16, 2.5752812927786865e-16, 2.769582104778301e-16, 1.5925730963849082e-16, 1.5577760824452387e-16, 4.5172309208778715e-16, 3.133849453777842e-16, 2.9463422756705574e-16, 1.5484374662934147e-16, 2.891514702328537e-16, 3.3196145323857705e-16, 4.922108224657644e-16, 3.2982606816539367e-16, 1.970611722714366e-16, 4.643094662011782e-16, 5.460295127711552e-16, 4.522115229589094e-16]",1.1686933845663511e-16,5000.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7069957666719954,0.1304288027425953,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,1.4298050695570186e-17
california,ridge,5000,1,8,b2_stratified,A0,0.0,0.0,5000.0,1.0,0.0,0.9999999999999998,1.0,1.0,3.1039787016147865e-17,1.0,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,2.6672731386156014e-17,3.549628570298946e-17,3.879973377018483e-18,1.5888597495337889e-18,"[3.0757927738825405e-17, 2.6337146516701712e-17, 2.703463926356634e-17, 2.995933434748977e-17, 2.1557953951631758e-17, 1.2993697797798995e-17, 2.5529894075450815e-17, 4.4701818779039237e-17, 2.4409926729537925e-17, 3.9323709627487093e-17, 2.144191497258166e-17, 2.6204353195890755e-17, 3.090095398620655e-17, 1.7644104562608946e-17, 1.1926463234624262e-17, 3.296458335625052e-17, 2.2563692441369683e-17, 2.4567105225476657e-17, 2.6325759438550915e-17, 3.045281054898835e-17, 3.8906911010966753e-17, 4.406972917665029e-17, 5.282309331575891e-17, 5.4177974972782864e-17, 8.377326846402825e-18, 3.923496348061633e-17, 3.557532597504342e-17, 6.751133703803882e-17, 2.479866732738726e-17, 3.8120491550711116e-17]",1.2710877996270312e-17,5000.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7045273633440956,0.1021047901307423,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,3.668050012691404e-18
california,ridge,5000,1,8,b3_is,A0,0.0,0.0,5000.0,1.0,0.0,0.9999999999999998,1.0,1.0,2.485519735371829e-16,8.007528318666568,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,2.2776789409766607e-16,2.7080500259405516e-16,3.106899669214786e-17,7.432200452855203e-18,"[2.026195058013568e-16, 2.5000030121294603e-16, 3.803080800841521e-16, 2.0068516572237965e-16, 1.825397011553265e-16, 2.2286629073973143e-16, 1.932194587090198e-16, 2.3299431031712187e-16, 2.982680367875631e-16, 1.915096774794281e-16, 1.8937527273138974e-16, 3.0417287203010726e-16, 2.958199079519805e-16, 3.116455573276791e-16, 2.577999030886839e-16, 2.659880348544463e-16, 2.7274275340825985e-16, 2.6138486515941285e-16, 1.7016393718899412e-16, 2.8065079383962243e-16, 2.014830589243547e-16, 2.81523832183427e-16, 3.459127246945213e-16, 1.189521523401943e-16, 3.8023896881419615e-16, 2.3648623132331995e-16, 2.086943868764258e-16, 2.4283998665887895e-16, 2.479842247174329e-16, 2.2768921399313487e-16]",5.945760362284162e-17,5000.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.834395209987027,0.0750476705032913,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,2.273914564727253e-18
california,ridge,5000,1,8,b4_antithetic,A0,0.0,0.0,5000.0,1.0,0.0,0.9999999999999998,1.0,1.0,4.822439368759554e-16,15.536315910449936,"[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]",0.0,4.2920596757616784e-16,5.4052579960815e-16,6.028049210949443e-17,1.9731527499789144e-17,"[5.695768989306905e-16, 1.547825278486386e-16, 4.026366199132932e-16, 5.409535395120889e-16, 2.6387412242386864e-16, 4.76896716482579e-16, 6.646347091361842e-16, 3.5242952840816776e-16, 4.920732549432682e-16, 5.164614414649304e-16, 3.73871726269899e-16, 5.797504641334085e-16, 2.8597346565918244e-16, 5.176955552928963e-16, 5.204986200790449e-16, 4.925220692798332e-16, 5.525556475365026e-16, 7.087220108082882e-16, 4.981632954701069e-16, 2.824501521479821e-16, 3.49103464044826e-16, 5.682981129750946e-16, 8.245781194214985e-16, 5.621481519967789e-16, 8.707653680122952e-16, 5.616791581885984e-16, 3.1955914802422663e-16, 4.411854695898761e-16, 3.90095083216277e-16, 3.333836650683374e-16]",1.5785221999831315e-16,5000.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.653575209970586,0.0780582652128309,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,1.2529486038617977e-17
