dataset,model,n_budget,instance_idx,M,method,mse,mse_std,mse_norm,mse_norm_std,mse_ci_lower,mse_ci_upper,mse_ratio_b2,spearman_mean,spearman_std,spearman_ci_lower,spearman_ci_upper,kendall_mean,kendall_std,top3_mean,top3_std,top5_mean,top5_std,variance,n_exploration,n_estimation,time_mean,time_std,n_coal_final,mse_per_run,spearman_per_run,kendall_per_run,top3_per_run,top5_per_run
california,ridge,1000,0,8,abc_shap,7.127858968054257e-16,6.900869521809473e-16,8.909823710067821e-17,8.626086902261841e-17,5.091431396353506e-16,9.846595930607797e-16,3.046540310530364,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,7.025531019442446e-17,480.0,520.0,0.11025254666553035,0.004427862573468124,480.0,"[6.57650687903441e-16, 3.609401539737538e-16, 5.910422580266562e-16, 5.120370420221358e-16, 6.408831997387924e-17, 4.251989320658852e-16, 4.760735093869846e-16, 4.85870254018209e-16, 2.383389740338493e-15, 3.3790994061176337e-16, 2.624060294898915e-16, 6.740403910548596e-16, 2.5077408635478596e-15, 2.5442675776636585e-16, 4.4173730234416516e-16, 9.3789375485042e-16, 5.90597918371309e-16, 6.126377848905227e-16, 2.2636282838453886e-16, 6.651022608111299e-16, 6.729414892479028e-16, 3.0465774858668528e-15, 4.498810417208115e-16, 6.902819293524713e-16, 3.3662270511955926e-16, 4.88730849123727e-16, 2.0679722107262597e-16, 7.599327576498516e-16, 1.1601514192966083e-15, 1.0451327588009876e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,0,8,b1_uniform,1.523951319937256e-15,8.216304571757843e-16,1.90493914992157e-16,1.0270380714697304e-16,1.2374005109145492e-15,1.842733135037756e-15,6.513567606041143,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.2754315491274772e-16,0.0,1000.0,0.08483167000037307,0.0029275550974994656,1000.0,"[2.2186883196182963e-15, 3.016371145546481e-15, 1.1631705496461038e-15, 2.3757437646498573e-15, 1.542235665135949e-15, 1.4935227552789546e-15, 1.4949026160721671e-15, 4.500367832560038e-16, 3.630386901873029e-15, 1.7249387184171841e-15, 6.061602185500618e-16, 1.2148958683740128e-15, 1.2567731550727144e-15, 1.780636209642498e-15, 1.0353227636994168e-15, 7.823884629589235e-16, 2.0384900796461483e-15, 1.928549138813912e-15, 3.5518202679501617e-16, 1.217562979890169e-15, 1.1458794834092349e-15, 1.6790935181932263e-15, 6.768769791395837e-16, 3.295756637320479e-15, 6.398834745584569e-16, 8.037754586328279e-16, 2.3056695514135835e-15, 1.9831853655636958e-15, 1.4071081584426206e-15, 4.55352848507081e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,0,8,b2_stratified,2.3396568702592967e-16,1.1507674364463393e-16,2.924571087824121e-17,1.438459295557924e-17,1.9330204890507995e-16,2.7679027425311045e-16,1.0,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,2.1300509312780282e-17,0.0,1000.0,0.08733805999703084,0.004659937086131416,1000.0,"[5.762739318075011e-17, 4.693174946970915e-16, 9.976329287206413e-17, 2.860749003849713e-16, 2.9550973198136526e-16, 2.564745629942855e-16, 8.960400155585505e-17, 1.5549988995443042e-16, 1.3275649277792164e-16, 3.952292516421407e-16, 2.5066175049070693e-16, 2.3090722476900816e-16, 3.293663936887988e-16, 2.874466481740735e-16, 1.558063313446807e-16, 1.3156850458152108e-16, 2.719996964077741e-16, 8.338076922639201e-17, 3.5687537458000763e-16, 1.7147319115312014e-16, 6.535216231662471e-17, 1.880341484369671e-16, 1.1909033464549875e-16, 1.7632371480150805e-16, 3.7634658600412114e-16, 3.342259625164385e-16, 2.0085774902412284e-16, 4.5031437283065205e-16, 3.910905523092279e-16, 2.099921314357708e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,0,8,b3_is,3.111141790510071e-16,1.0480050196356024e-16,3.888927238137589e-17,1.310006274544503e-17,2.7438274987610583e-16,3.4703509052479584e-16,1.329742762734808,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.5429127339233354e-17,0.0,1000.0,0.1060182733364248,0.002657574507493267,1000.0,"[3.09219048584491e-16, 2.551196123673916e-16, 4.1807367967773206e-16, 2.799711629814249e-16, 2.941129964054601e-16, 3.063496831063693e-16, 2.083051496907815e-16, 2.81619748157203e-16, 3.3713299026653246e-16, 2.2184716927809247e-16, 3.028870460632252e-16, 2.3514109854053964e-16, 2.7510296548737053e-16, 1.821727108690722e-16, 2.380450801667361e-16, 3.8803405849865947e-16, 3.5138765269594714e-16, 3.8849200557138054e-16, 1.8390403557711164e-16, 5.22479421086172e-16, 3.4898449050476e-16, 3.1227909779836305e-16, 4.1954202509710586e-16, 4.658543603848633e-16, 3.629768512349277e-16, 2.241687026694462e-16, 8.040609018915204e-17, 4.304084739107486e-16, 5.436746123114699e-16, 1.6573335235768636e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,0,8,b4_antithetic,1.5712330176702083e-15,7.820219436128082e-16,1.9640412720877604e-16,9.775274295160102e-17,1.3066074209519126e-15,1.8519627854323002e-15,6.715655776892077,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.643838030674832e-16,0.0,1000.0,0.08009362000739202,0.0012050786270129364,1000.0,"[5.115992261028143e-16, 6.337968814184367e-16, 1.7681667192979092e-15, 7.518241374565062e-16, 2.2754523904102758e-15, 8.073714861527212e-16, 2.4608766760771526e-15, 2.2032524032302162e-15, 1.0191978435929925e-15, 2.3518589242032656e-15, 1.3644812915979971e-15, 1.2132086596099811e-15, 1.0062756381246777e-15, 8.227254994529272e-16, 6.343104773221647e-16, 2.7884227316950565e-15, 1.7145606516225008e-15, 1.5883286559848823e-15, 2.2512358736595433e-15, 2.7906173695105162e-15, 3.438404805250875e-15, 1.152552377169511e-15, 1.4487574417765335e-15, 1.1373134138570239e-15, 1.3247054054742182e-15, 4.439563925210284e-16, 1.828723754262124e-15, 8.567188127697282e-16, 2.6673103817765872e-15, 1.8809842087260828e-15]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,1,8,abc_shap,5.22363262401703e-16,4.2929927267709757e-16,6.529540780021287e-17,5.3662409084637197e-17,3.6757484109253783e-16,6.893732146526038e-16,3.0902284050692774,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,5.078028409529923e-17,480.0,520.0,0.11306559999745029,0.007291086048857516,480.0,"[1.9731401067793633e-16, 8.479437038694401e-16, 1.477083740604923e-15, 1.3240239920495721e-16, 3.2007354909748233e-16, 6.89053822173151e-16, 4.724352318162859e-16, 1.0503506526225557e-15, 2.2591453540565637e-16, 1.279135152118035e-15, 3.374376205273633e-16, 6.692002760241701e-16, 2.441571564770365e-16, 2.352146231511796e-16, 1.7683587176642884e-16, 2.135642780191615e-16, 1.090535398549925e-16, 6.947902002143979e-16, 5.360171882704726e-16, 5.232037534594413e-16, 1.9486876823791537e-15, 2.1237530521774264e-16, 5.708893441019007e-16, 3.4424751820859754e-16, 5.601631007152494e-16, 2.1592153396531826e-16, 3.4008934873002174e-16, 7.320054607133488e-16, 2.246457121584963e-16, 9.069156050619282e-17]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,1,8,b1_uniform,8.657586655067576e-16,5.198248306881742e-16,1.082198331883447e-16,6.497810383602178e-17,6.924270344200771e-16,1.051877514458902e-15,5.1217078471082225,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,7.92432141876366e-17,0.0,1000.0,0.09590195666824002,0.0377661488170863,1000.0,"[2.4266548866179483e-16, 1.2882765825882612e-15, 7.471677158251465e-16, 2.2036564807559546e-15, 1.1450819820165544e-15, 1.849214399856774e-15, 6.841631700636009e-16, 5.390265250512049e-16, 1.239186167805556e-16, 6.615851119551524e-16, 8.51739143059137e-16, 8.411275580210961e-16, 5.1026759655907555e-16, 8.115254036352639e-16, 4.379334297645743e-16, 1.4128114363926479e-15, 1.129205586785925e-15, 1.138304656359803e-15, 1.2767447460371086e-15, 9.083917063242023e-16, 6.654920361265708e-16, 5.010652764418067e-16, 1.3451017429374742e-15, 2.98315465022679e-16, 1.7842395014092995e-16, 4.4236384141801357e-16, 4.171020670499875e-16, 2.0099587395115605e-15, 8.24825079373957e-16, 4.873044306859165e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,1,8,b2_stratified,1.6903710468287943e-16,1.2915622408245944e-16,2.112963808535993e-17,1.614452801030743e-17,1.2810730657764612e-16,2.171000165408116e-16,1.0,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.916619714482464e-17,0.0,1000.0,0.09340341333396888,0.02344371962013553,1000.0,"[3.402937174516729e-17, 2.448527413731911e-16, 1.3148544855977272e-16, 5.999926262641689e-17, 5.807583600672328e-17, 1.5963097371145519e-16, 5.510404720318287e-16, 5.0968436322556385e-17, 5.3946052265165053e-17, 5.154130106222225e-17, 3.071977292999333e-16, 3.1322291352962594e-16, 2.1449678519371574e-16, 1.4203022078331114e-16, 4.484697088445148e-17, 2.0670305230911063e-16, 1.0822697784838343e-16, 5.330163805148351e-16, 6.48915307881533e-17, 9.111467723239665e-17, 1.5570381436399078e-16, 1.3435108377346127e-16, 3.2774973192019575e-17, 2.0819681634007938e-16, 1.4092928680649538e-16, 1.5427834142979416e-16, 2.787487427426365e-16, 2.7677819912613417e-16, 1.70394720017843e-16, 9.764002860551339e-17]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,1,8,b3_is,2.883177627206734e-16,1.1094478399630212e-16,3.6039720340084177e-17,1.3868097999537765e-17,2.4881971721791366e-16,3.271365313054091e-16,1.7056477822521239,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.1674481070400439e-17,0.0,1000.0,0.10858686000089317,0.007125650703443585,1000.0,"[3.1748870838267643e-16, 1.8621021580680368e-16, 2.0676474466448088e-16, 2.9898132119374627e-16, 1.7464826704425317e-16, 3.2886733372462125e-16, 9.455263521348425e-17, 4.229911498452114e-16, 3.7217902807939343e-16, 3.428420381152196e-16, 6.324580069039246e-16, 1.9023010232167089e-16, 1.5704193233159176e-16, 3.18830107654509e-16, 2.532877995737994e-16, 1.3042690941362206e-16, 2.7064987226394594e-16, 4.3732296145118427e-16, 4.030388098824419e-16, 2.557849968208992e-16, 3.8326406077431194e-16, 3.491392379584929e-16, 1.9666743454083588e-16, 2.88941169364248e-16, 4.2820260591172536e-16, 2.307833395475957e-16, 1.808749855374935e-16, 2.1874059124999716e-16, 3.163747712048459e-16, 2.6194774484317816e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
california,ridge,1000,1,8,b4_antithetic,1.0050593268077445e-15,3.8276223863126743e-16,1.2563241585096806e-16,4.784527982890843e-17,8.713205897448177e-16,1.139951308131784e-15,5.945791184091074,1.0,0.0,1.0,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,8.055618953309292e-17,0.0,1000.0,0.08345590666964806,0.006378137055356169,1000.0,"[9.5704526964736e-16, 6.855241487517754e-16, 9.657984565482087e-16, 6.010802514346348e-16, 1.3648578047939965e-15, 1.1763814879826919e-15, 4.4165631084660285e-16, 6.524339177994773e-16, 9.710281935405946e-16, 1.4755029267313078e-15, 1.9233448310682393e-15, 7.00983429281946e-16, 8.098024216059401e-16, 1.2149967313382586e-15, 7.339923339401162e-16, 1.017308592327272e-15, 1.0291973008788898e-15, 1.7043056369923211e-15, 9.369058366841542e-16, 1.296821303704861e-15, 7.691545315785647e-16, 9.211040274334219e-16, 9.10221664369682e-16, 6.117942802077703e-16, 1.4002730208457557e-15, 2.1123567292543584e-16, 7.304158853404255e-16, 1.5261247130518946e-15, 1.5157483759014477e-15, 8.96740446679293e-16]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
